value,geometry
12.462092327943175,POINT (79.88166020266851 6.7290893508826715)
12.464019168490475,POINT (79.89070715013348 6.729109955254543)
12.464783255129456,POINT (79.89975412582018 6.729130392350052)
12.464328018322519,POINT (79.90880112949857 6.729150662166659)
12.462596041007322,POINT (79.91784816093858 6.729170764701847)
12.459529211918131,POINT (79.92689521991015 6.729190699953125)
12.45506889782162,POINT (79.93594230618326 6.7292104679180165)
12.449156135370774,POINT (79.94498941952781 6.729230068594068)
12.441731843150222,POINT (79.95403655971377 6.729249501978848)
12.432737054328665,POINT (79.96308372651103 6.729268768069947)
12.422113170147123,POINT (79.97213091968953 6.729287866864967)
12.409802234254823,POINT (79.98117813901922 6.729306798361543)
12.395747227656988,POINT (79.99022538426999 6.729325562557325)
12.37989238376009,POINT (79.9992726552118 6.7293441594499805)
12.362183522691865,POINT (80.0083199516145 6.729362589037206)
12.342568403736426,POINT (80.01736727324806 6.7293808513167095)
12.320997094362228,POINT (80.02641461988233 6.729398946286228)
12.297422353935644,POINT (80.03546199128728 6.7294168739435145)
12.271800029810915,POINT (80.04450938723278 6.729434634286344)
12.24408946307349,POINT (80.0535568074887 6.729452227312511)
12.21425390079612,POINT (80.06260425182498 6.729469653019831)
12.182260911253767,POINT (80.0716517200115 6.729486911406146)
12.148082798143507,POINT (80.08069921181814 6.729504002469307)
12.11169700948071,POINT (80.08974672701478 6.729520926207197)
12.073086536502993,POINT (80.09879426537132 6.729537682617717)
12.032240297621712,POINT (80.10784182665763 6.729554271698782)
11.98915350222862,POINT (80.1168894106436 6.729570693448336)
11.94382798900498,POINT (80.12593701709908 6.72958694786434)
11.896272533303373,POINT (80.13498464579395 6.729603034944776)
11.846503118189215,POINT (80.14403229649808 6.729618954687648)
11.79454316384818,POINT (80.15307996898134 6.729634707090981)
11.7404237102949,POINT (80.16212766301358 6.729650292152815)
11.68418354866121,POINT (80.17117537836468 6.729665709871221)
11.625869296801266,POINT (80.18022311480448 6.729680960244283)
11.565535415523685,POINT (80.18927087210284 6.729696043270106)
11.503244162442803,POINT (80.19831865002962 6.7297109589468205)
11.439065481223304,POINT (80.20736644835465 6.729725707272575)
11.373076824862355,POINT (80.21641426684778 6.7297402882455355)
11.305362912595104,POINT (80.22546210527887 6.729754701863895)
11.236015421003954,POINT (80.23450996341774 6.729768948125864)
11.16513261093768,POINT (80.24355784103425 6.729783027029673)
11.09281889287916,POINT (80.25260573789822 6.729796938573575)
11.019184334415355,POINT (80.26165365377948 6.729810682755843)
10.944344114434415,POINT (80.27070158844788 6.72982425957477)
10.868417929577296,POINT (80.27974954167323 6.729837669028672)
10.791529359281066,POINT (80.28879751322535 6.729850911115884)
10.71380519644682,POINT (80.2978455028741 6.72986398583476)
10.635374751328097,POINT (80.30689351038927 6.729876893183682)
10.556369136651393,POINT (80.31594153554069 6.729889633161042)
10.476920542238238,POINT (80.32498957809817 6.729902205765262)
10.397161507492994,POINT (80.33403763783153 6.72991461099478)
10.317224200051143,POINT (80.34308571451058 6.729926848848055)
10.237239708653568,POINT (80.35213380790513 6.72993891932357)
10.157337357932063,POINT (80.36118191778499 6.729950822419825)
10.07764405227303,POINT (80.37023004391997 6.729962558135343)
9.998283655286533,POINT (80.37927818607987 6.729974126468666)
9.919376410666455,POINT (80.3883263440345 6.729985527418361)
9.841038409405703,POINT (80.39737451755363 6.729996760983008)
9.763381107451615,POINT (80.4064227064071 6.730007827161214)
9.686510896973855,POINT (80.41547091036466 6.730018725951608)
9.610528733493442,POINT (80.42451912919614 6.730029457352835)
9.535529820208678,POINT (80.43356736267131 6.730040021363561)
9.461603349971847,POINT (80.44261561055998 6.7300504179824765)
9.38883230453715,POINT (80.45166387263194 6.730060647208292)
9.317293309930646,POINT (80.46071214865694 6.730070709039734)
9.24705654609868,POINT (80.46976043840479 6.730080603475557)
9.178185708381873,POINT (80.47880874164528 6.730090330514529)
9.110738017842648,POINT (80.48785705814818 6.730099890155445)
9.044764277048868,POINT (80.49690538768327 6.730109282397118)
8.980308967584426,POINT (80.50595373002034 6.73011850723838)
8.917410385317806,POINT (80.51500208492914 6.730127564678089)
8.856100809307058,POINT (80.52405045217945 6.730136454715118)
