value,geometry
28.105194253699842,POINT (421400.6697062135 742942.1585607335)
27.870754639701666,POINT (422400.6697062135 742942.1585607335)
27.634163581662506,POINT (423400.6697062135 742942.1585607335)
27.395807991500437,POINT (424400.6697062135 742942.1585607335)
27.15607810488445,POINT (425400.6697062135 742942.1585607335)
26.915365379162736,POINT (426400.6697062135 742942.1585607335)
26.674060407023447,POINT (427400.6697062135 742942.1585607335)
26.43255086874342,POINT (428400.6697062135 742942.1585607335)
26.191219544851077,POINT (429400.6697062135 742942.1585607335)
25.95044240961595,POINT (430400.6697062135 742942.1585607335)
25.71058682402324,POINT (431400.6697062135 742942.1585607335)
25.472009844850152,POINT (432400.6697062135 742942.1585607335)
25.235056664190687,POINT (433400.6697062135 742942.1585607335)
25.000059191338913,POINT (434400.6697062135 742942.1585607335)
24.76733478640138,POINT (435400.6697062135 742942.1585607335)
24.537185152430627,POINT (436400.6697062135 742942.1585607335)
24.309895390313383,POINT (437400.6697062135 742942.1585607335)
24.08573321816469,POINT (438400.6697062135 742942.1585607335)
23.864948354622726,POINT (439400.6697062135 742942.1585607335)
23.64777206325041,POINT (440400.6697062135 742942.1585607335)
23.434416853263958,POINT (441400.6697062135 742942.1585607335)
23.225076330051373,POINT (442400.6697062135 742942.1585607335)
23.019925187433795,POINT (443400.6697062135 742942.1585607335)
22.819119332369116,POINT (444400.6697062135 742942.1585607335)
22.622796131803636,POINT (445400.6697062135 742942.1585607335)
22.43107477063866,POINT (446400.6697062135 742942.1585607335)
22.24405670928588,POINT (447400.6697062135 742942.1585607335)
22.06182622902157,POINT (448400.6697062135 742942.1585607335)
21.88445105329816,POINT (449400.6697062135 742942.1585607335)
21.71198303330925,POINT (450400.6697062135 742942.1585607335)
21.54445888640795,POINT (451400.6697062135 742942.1585607335)
21.38190097642404,POINT (452400.6697062135 742942.1585607335)
21.22431812548736,POINT (453400.6697062135 742942.1585607335)
21.071706447620052,POINT (454400.6697062135 742942.1585607335)
20.924050195084458,POINT (455400.6697062135 742942.1585607335)
20.78132260924611,POINT (456400.6697062135 742942.1585607335)
20.643486768511963,POINT (457400.6697062135 742942.1585607335)
20.510496426715527,POINT (458400.6697062135 742942.1585607335)
20.38229683612754,POINT (459400.6697062135 742942.1585607335)
20.258825550060262,POINT (460400.6697062135 742942.1585607335)
20.14001320079419,POINT (461400.6697062135 742942.1585607335)
20.02578424927982,POINT (462400.6697062135 742942.1585607335)
19.916057703747093,POINT (463400.6697062135 742942.1585607335)
19.81074780498642,POINT (464400.6697062135 742942.1585607335)
19.70976467664479,POINT (465400.6697062135 742942.1585607335)
19.613014939406664,POINT (466400.6697062135 742942.1585607335)
19.520402288401403,POINT (467400.6697062135 742942.1585607335)
19.431828033598116,POINT (468400.6697062135 742942.1585607335)
19.34719160331566,POINT (469400.6697062135 742942.1585607335)
19.26639101129312,POINT (470400.6697062135 742942.1585607335)
19.18932328803632,POINT (471400.6697062135 742942.1585607335)
19.115884877382676,POINT (472400.6697062135 742942.1585607335)
19.045971999412288,POINT (473400.6697062135 742942.1585607335)
18.97948098098209,POINT (474400.6697062135 742942.1585607335)
